时间|shíjiān|Thời gian
价值|jiàzhí|Giá trị
一种|yì zhǒng|Một loại
最|zuì|Nhất
公平|gōngpíng|Công bằng
财富|cáifù|Tài sản, của cải
区别|qūbié|Khác biệt, sự khác nhau
在于|zàiyú|Ở chỗ, là do
如何|rúhé|Làm thế nào
利用|lìyòng|Sử dụng, tận dụng
浪费|làngfèi|Lãng phí
抱怨|bàoyuàn|Than phiền, oán trách
却|què|Mà (biểu thị sự chuyển ngoặt)
用来|yònglái|Dùng để
学习|xuéxí|Học tập
成长|chéngzhǎng|Trưởng thành, phát triển
等待|děngdài|Chờ đợi
任何|rènhé|Bất kỳ
错过|cuòguò|Bỏ lỡ
永远|yǒngyuǎn|Mãi mãi
失去|shīqù|Mất đi, đánh mất
与其|yǔqí|So với việc
后悔|hòuhuǐ|Hối hận
过去|guòqù|Quá khứ
不如|bùrú|Không bằng
珍惜|zhēnxī|Trân trọng, quý trọng
坚持|jiānchí|Kiên trì
未来|wèilái|Tương lai
明亮|míngliàng|Tươi sáng, rạng rỡ
记住|jìzhù|Ghi nhớ
成功|chénggōng|Thành công
一夜之间|yíyèzhījiān|Chỉ sau một đêm
奇迹|qíjì|Kỳ tích
而|ér|Mà, nhưng
无数|wúshù|Vô số
平凡|píngfán|Bình thường, tầm thường
日子|rìzi|Ngày, ngày tháng
积累|jīlěi|Tích lũy, tích góp
生命|shēngmìng|Sinh mệnh, sự sống
