梦想|mèngxiǎng|Ước mơ, hoài bão
力量|lìliàng|Sức mạnh, năng lực
像|xiàng|Giống như, như là
黑夜|hēi yè|Đêm tối, đêm đen
星星|xīngxīng|Ngôi sao
指引|zhǐyǐn|Chỉ dẫn, dẫn đường
前进|qiánjìn|Tiến lên, đi về phía trước
方向|fāngxiàng|Phương hướng
让|ràng|Khiến, để
生活|shēnghuó|Cuộc sống
充满|chōngmǎn|Tràn đầy, chứa đầy
希望|xīwàng|Hy vọng
变得|biànde|Trở nên
实现|shíxiàn|Thực hiện
一帆风顺|yìfānfēngshùn|Thuận buồm xuôi gió 
遇到|yùdào|Gặp phải, đối mặt
困难|kùnnán|Khó khăn
怀疑|huáiyí|Nghi ngờ
甚至|shènzhì|Thậm chí
放弃|fàngqì|Từ bỏ
但|dàn|Nhưng
正|zhèng|Chính, đúng là
因为|yīnwèi|Bởi vì
挑战|tiǎozhàn|Thách thức
才|cái|Mới, thì mới
更|gèng|Hơn
价值|jiàzhí|Giá trị
不要|bú yào|Đừng, không nên
害怕|hàipà|Sợ hãi
失败|shībài|Thất bại
每一次|měi yí cì|Mỗi lần
努力|nǔlì|Nỗ lực, cố gắng
只要|zhǐyào|Chỉ cần
坚持不懈|jiānchí bú xiè|Kiên trì không ngừng
总有一天|zǒng yǒu yì tiān|Sẽ có một ngày
站|zhàn|Đứng
成功|chénggōng|Thành công
顶点|dǐngdiǎn|Đỉnh cao, đỉnh điểm
回头|huí tóu|Quay đầu
微笑|wēixiào|Mỉm cười
