叫|jiào|gọi, tên là
请|qǐng|Mời, xin
问|wèn|Hỏi
吃|chī|Ăn
喝|hē|Uống
说|shuō|Nói
喜欢|xǐhuān|Thích
什么|shénme|Gì, cái gì
名字|míngzi|Tên
贵姓|guìxìng|Quý tính
姓|xìng|Họ
他|tā|Anh ấy
她|tā|Cô ấy
们|men|Hậu tố số nhiều 
人|rén|Người
也|yě|Cũng
都|dōu|Đều
中国|Zhōngguó|Trung Quốc
美国|Měiguó|Mỹ
英国|Yīngguó|Anh
韩国|Hánguó|Hàn Quốc
泰国|Tàiguó|Thái Lan
德国|Déguó|Đức
法国|Fǎguó|Pháp
日本|Rìběn|Nhật Bản
越南|Yuènán|Việt Nam
汉语|Hànyǔ|Tiếng Hán
英语|Yīngyǔ|Tiếng Anh
冰淇淋|bīngqílín|kem
包子|bāozi|bánh bao
唱歌|chànggē|hát
啤酒|píjiǔ|bia
奶茶|nǎichá|trà sữa
学校|xuéxiào|trường học
帮助|bāngzhù|giúp đỡ
开会|kāihuì|họp
房子|fángzi| ngôi nhà
手机|shǒujī|điện thoại
打扫|dǎsǎo|quét dọn
报纸|bàozhǐ|báo giấy
摩托车|mótuōchē|xe máy
操场|cāochǎng|sân vận động
教室|jiàoshì|phòng học
星期|xīngqī|tuần
机器|jīqì|máy móc
水果|shuǐguǒ|hoa quả
汉字|hànzì|chữ Hán
汽车|qìchē|ô tô
洗澡|xǐzǎo|tắm
游泳|yóuyǒng|bơi
炒饭|chǎofàn|cơm rang
牛奶|niúnǎi|sữa bò
睡觉|shuìjiào|ngủ
篮球|lánqiú|bóng rổ
红茶|hóngchá|hồng trà
羽毛球|yǔmáoqiú|cầu lông
面包|miànbāo|bánh mì
面条|miàntiáo|mì sợi
音乐|yīnyuè|âm nhạc
香蕉|xiāngjiāo|chuối
