遇到|yùdào|Gặp phải, đối mặt
困难|kùnnán|Khó khăn
失败|shībài|Thất bại
重要|zhòngyào|Quan trọng
失去|shīqù|Mất đi, đánh mất
信心|xìnxīn|Lòng tin, niềm tin
相信|xiāngxìn|Tin tưởng
自己|zìjǐ|Bản thân
拥有|yǒngyǒu|Sở hữu
前进|qiánjìn|Tiến lên, đi về phía trước
力量|lìliàng|Sức mạnh
也许|yěxǔ|Có lẽ
达到|dádào|Đạt tới, đạt được
目标|mùbiāo|Mục tiêu
每天|měitiān|Mỗi ngày
努力|nǔlì|Nỗ lực, cố gắng
终有一天|zhōng yǒu yìtiān|Cuối cùng có một ngày
成长|chéngzhǎng|Trưởng thành, phát triển
人生|rénshēng|Nhân sinh, cuộc đời
像|xiàng|Giống như, như là
一场|yìchǎng|Một trận (lượng từ cho sự kiện)
马拉松|mǎlāsōng|Marathon
在于|zàiyú|Ở chỗ, là do
而|ér|Mà, nhưng
坚持|jiānchí|Kiên trì, bền bỉ
害怕|hàipà|Sợ hãi
成功|chénggōng|Thành công
路上|lù shàng|Trên đường
跌倒|diēdǎo|Ngã, vấp ngã
坚强|jiānqiáng|Kiên cường, mạnh mẽ
机会|jīhuì|Cơ hội
记住|jìzhù|Ghi nhớ
心中|xīnzhōng|Trong lòng
信念|xìnniàn|Niềm tin, tín niệm
